Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
bison bonasus	13					hostOf		mutualisticWith		parasitizedBy			324								Not Monogamous						fossorial and_or ground dwelling							viviparous	Social Group Living													herbivore		1					Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Bivalvia | Pectinida | Pectinoidea | Pectinidae | Aequipecten			depend		multicellular		0.016326	39.1461	13	bison bonasus	bison bonasus	9902								brackish water	
bison priscus	13																								actively mobile									viviparous																					Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Chondrichthyes | Elasmobranchii | Selachii | Hybodontiformes | Hybodontidae | Priohybodus					multicellular		0.016318	39.1408	13	bison priscus	bison priscus	268291								marine	
bison schoetensacki	13																																																											multicellular		0.016325	39.3078	13	bison schoetensacki	bison schoetensacki	1920185									
biston panterinaria	13																																																											multicellular		0.015517	20.4421	13	biston panterinaria	biston panterinaria	1229185									
biston perclara	13																																																											multicellular		0.015493	20.4157	13	biston perclara	biston perclara	1430492									
biston suppressaria	13																																																											multicellular		0.015628	20.5657	13	biston suppressaria	biston suppressaria	1049282									
biston thibetaria	13																																																											multicellular		0.015485	20.3875	13	biston thibetaria	biston thibetaria	1514710									
bitias brevis	13																										planktonic			calcium phosphate																									Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Multicrustacea | Malacostraca | Eumalacostraca | Eucarida | Decapoda | Pandaloidea | Pandalidae | Bitias					multicellular		0.015891	35.1646	13	bitias brevis	bitias brevis	2511427								marine benthic	
bittacus pilicornis	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Mecoptera | Bittacidae					multicellular		0.015842	26.5497	13	bittacus pilicornis	bittacus pilicornis	172808								terrestrial	
bittacus strigosus	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Mecoptera | Bittacidae					multicellular		0.015825	27.0079	13	bittacus strigosus	bittacus strigosus	50433								terrestrial	
